title,rank,score,users_rated,Popularity,Favorites,Members,animeType,Episodes,status,premiered,studio,source,rating,genres
Kono Subarashii Sekai ni Shukufuku wo! 2,187,8.36,388425,83,7220,629510,TV,10,Finished Airing,Winter 2017,Studio Deen,Light novel,PG-13 - Teens 13 or older,"Adventure,Comedy,Parody,Supernatural,Magic,Fantasy"
Natsume Yuujinchou Go Specials,188,8.36,10144,2877,42,23854,Special,2,Finished Airing,"Mar 30, 2017 to Apr 26, 2017",Shuka,Manga,"Mar 30, 2017 to Apr 26, 2017","Slice of Life,Demons,Supernatural,Drama,Shoujo"
NHK ni Youkoso!,189,8.36,217252,151,18257,453546,TV,24,Finished Airing,Summer 2006,Gonzo,Novel,R+ - Mild Nudity,"Comedy,Psychological,Drama,Romance"
Stranger: Mukou Hadan,190,8.36,110928,491,2383,213409,Movie,1,Finished Airing,"Sep 29, 2007",Bones,Original,"Sep 29, 2007","Action,Adventure,Historical,Samurai"
Versailles no Bara,191,8.36,16825,1750,2010,54664,TV,40,Finished Airing,Fall 1979,Tokyo Movie Shinsha,Manga,PG-13 - Teens 13 or older,"Military,Historical,Drama,Romance,Shoujo"
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",192,8.36,46764,1117,252,95697,Special,1,Finished Airing,"Jul 4, 2018",Kyoto Animation,Light novel,"Jul 4, 2018","Drama,Fantasy,Slice of Life"
Bakemonogatari,193,8.35,428652,51,32539,815328,TV,15,Finished Airing,Summer 2009,Shaft,Light novel,R - 17+ (violence & profanity),"Romance,Supernatural,Mystery,Vampire"
Beck,194,8.35,97003,486,6318,214390,TV,26,Finished Airing,Fall 2004,Madhouse,Manga,R - 17+ (violence & profanity),"Comedy,Drama,Music,Shounen,Slice of Life"
Gintama: Yorinuki Gintama-san on Theater 2D,195,8.35,8965,2854,46,24289,Movie,2,Finished Airing,"Aug 26, 2012",Sunrise,Manga,"Aug 26, 2012","Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen"
Girls & Panzer Movie,196,8.35,30071,1640,900,59762,Movie,1,Finished Airing,"Nov 21, 2015",Actas,Original,"Nov 21, 2015","Sports,Military,School"
Hunter x Hunter: Yorkshin City Kanketsu-hen,197,8.35,46090,1290,320,82259,OVA,8,Finished Airing,"Jan 17, 2002 to Apr 17, 2002",Nippon Animation,Manga,"Jan 17, 2002 to Apr 17, 2002","Action,Adventure,Super Power,Shounen"
No Game No Life,198,8.35,790350,8,38881,1251906,TV,12,Finished Airing,Spring 2014,Madhouse,Light novel,PG-13 - Teens 13 or older,"Game,Adventure,Comedy,Supernatural,Ecchi,Fantasy"
